ablation_type,function,dimensions,run_id,final_fitness,total_evaluations,improvement_ratio,local_search_calls,plateau_escapes,basin_searches,final_exploration_scale,final_exploitation_scale,runtime_seconds
no_escape_mechanisms,Ackley,30,1,1.9537044426698458e-08,13869,1038782645.0909755,1,0,0,0.17,0.005,5.342875957489014
no_escape_mechanisms,Ackley,30,2,0.015965249459729325,21729,1303.5113040936908,0,0,0,0.17,0.005,2.4622132778167725
no_escape_mechanisms,Ackley,30,3,1.9202730516809652e-08,11363,1075227943.4638288,1,0,0,0.17,0.005,4.814443349838257
no_escape_mechanisms,Ackley,30,4,0.01584504618490401,21524,1306.2640442557704,0,0,0,0.17,0.005,2.4729080200195312
no_escape_mechanisms,Ackley,30,5,1.999585252931979e-08,11262,1021292666.4821101,1,0,0,0.17,0.005,4.821306228637695
no_escape_mechanisms,Ackley,30,6,1.9983165788772794e-08,11821,1015165398.2762823,1,0,0,0.17,0.005,5.416898965835571
no_escape_mechanisms,Ackley,30,7,1.9715838295297772e-08,9441,1053245053.6741441,1,0,0,0.17,0.005,4.363295316696167
no_escape_mechanisms,Ackley,30,8,1.9907645754102532e-08,11192,1031632580.3469619,1,0,0,0.17,0.005,4.844782590866089
no_escape_mechanisms,Ackley,30,9,1.955368178485628e-08,13774,1054534170.2135582,1,0,0,0.17,0.005,5.117068290710449
no_escape_mechanisms,Ackley,30,10,1.9775744153349706e-08,9310,1040623304.8441815,1,0,0,0.17,0.005,4.491633415222168
no_population_decay,Ackley,30,1,1.998039822481701e-08,8824,1015732642.4864886,1,0,5,0.17,0.005,3.993755578994751
no_population_decay,Ackley,30,2,1.9827308239683816e-08,11114,1049607081.9023457,1,0,5,0.17,0.005,5.32075572013855
no_population_decay,Ackley,30,3,1.954710571183682e-08,29871,1056284891.833183,1,0,5,0.17,0.005,9.95656943321228
no_population_decay,Ackley,30,4,0.015383408837671642,21782,1345.4634359210659,0,0,4,0.17,0.005,2.861912965774536
no_population_decay,Ackley,30,5,0.017374827779026436,19995,1175.3565449957132,0,0,4,0.17,0.005,1.903677225112915
no_population_decay,Ackley,30,6,0.01644877810237988,20290,1233.2963780358505,0,0,4,0.17,0.005,2.0343637466430664
no_population_decay,Ackley,30,7,1.942190808179589e-08,9824,1069184813.1556758,1,0,5,0.17,0.005,4.317555904388428
no_population_decay,Ackley,30,8,1.951544392753135e-08,12850,1052365297.66894,1,0,5,0.17,0.005,5.519014358520508
no_population_decay,Ackley,30,9,0.01770161489364286,22270,1164.8669186119628,0,0,4,0.17,0.005,2.070284605026245
no_population_decay,Ackley,30,10,1.9959948804881833e-08,15375,1031019690.3700728,1,0,5,0.17,0.005,6.57438063621521
no_diversity_restart,Ackley,30,1,1.9629496694761883e-08,19631,1033890119.6708401,1,0,5,0.17,0.005,6.401360750198364
no_diversity_restart,Ackley,30,2,0.015965249459729325,22293,1303.5113040936908,0,0,4,0.17,0.005,2.4761500358581543
no_diversity_restart,Ackley,30,3,1.9979964793748195e-08,11100,1033400842.0745552,1,0,5,0.17,0.005,4.972965717315674
no_diversity_restart,Ackley,30,4,0.01584504618490401,22088,1306.2640442557704,0,0,4,0.17,0.005,2.5132954120635986
no_diversity_restart,Ackley,30,5,1.999585252931979e-08,11818,1021292666.4821101,1,0,5,0.17,0.005,4.894834518432617
no_diversity_restart,Ackley,30,6,1.9492656821995524e-08,14433,1040710799.0476462,1,0,5,0.17,0.005,5.074809551239014
no_diversity_restart,Ackley,30,7,1.9715838295297772e-08,9884,1053245053.6741441,1,0,5,0.17,0.005,4.245535135269165
no_diversity_restart,Ackley,30,8,1.996807741377893e-08,29375,1028510433.5466099,1,0,5,0.17,0.005,8.224522590637207
no_diversity_restart,Ackley,30,9,1.833699458941851e-08,41030,1124504099.8982632,1,0,5,0.10960000000000002,0.00502,9.65568208694458
no_diversity_restart,Ackley,30,10,1.9775744153349706e-08,10108,1040623304.8441815,1,0,5,0.17,0.005,4.557030916213989
no_de_operator,Ackley,30,1,0.019210287289752603,22224,1056.4518052601745,0,0,4,0.17,0.005,3.0630481243133545
no_de_operator,Ackley,30,2,0.02211502680312849,21302,941.0290717119485,0,0,4,0.17,0.005,3.1175484657287598
no_de_operator,Ackley,30,3,1.962938300792416e-08,9324,1051857434.0387704,1,0,5,0.17,0.005,3.406996965408325
no_de_operator,Ackley,30,4,0.01797125714260206,21002,1151.7176537331177,0,0,4,0.17,0.005,2.248169422149658
no_de_operator,Ackley,30,5,0.011709987503881525,28958,1743.9487054518952,0,0,4,0.17,0.005,3.1074585914611816
no_de_operator,Ackley,30,6,0.01624541536336155,31746,1248.7349817187335,0,0,4,0.17,0.005,3.4137613773345947
no_de_operator,Ackley,30,7,0.021336647620323834,21250,973.2367302060023,0,0,4,0.17,0.005,2.245638132095337
no_de_operator,Ackley,30,8,0.019700789446261968,21314,1042.4646186873897,0,0,4,0.17,0.005,2.969235897064209
no_de_operator,Ackley,30,9,0.009384545649834042,21000,2197.232169250307,0,0,4,0.17,0.005,2.931412696838379
no_de_operator,Ackley,30,10,0.016778876862684644,21373,1226.4885430072277,0,0,4,0.17,0.005,3.098956346511841
baseline,Griewank,10,1,4.440892098500626e-16,2782,2.2499457593087808e+17,3,1,5,0.17,0.005,1.9588398933410645
baseline,Griewank,10,2,3.3306690738754696e-16,3947,2.0492109216417536e+17,1,1,5,0.17,0.005,2.4058618545532227
baseline,Griewank,10,3,3.3306690738754696e-16,2954,3.614282398587108e+17,2,2,5,0.17,0.005,2.3098113536834717
baseline,Griewank,10,4,1.1102230246251565e-16,4915,9.778019448828896e+17,1,0,5,0.17,0.005,2.2767868041992188
baseline,Griewank,10,5,0.0,2770,8.349872976289009e+17,2,2,5,0.17,0.005,1.8079888820648193
baseline,Griewank,10,6,1.1102230246251565e-16,3473,9.167271422207206e+17,2,1,5,0.17,0.005,3.0340781211853027
baseline,Griewank,10,7,3.3306690738754696e-16,3568,3.201057866033979e+17,4,1,5,0.17,0.005,2.985287666320801
baseline,Griewank,10,8,1.1102230246251565e-16,2589,1.160671705137227e+18,1,2,5,0.17,0.005,1.6229984760284424
baseline,Griewank,10,9,1.1102230246251565e-16,2695,6.170439646129455e+17,2,1,5,0.17,0.005,1.9092257022857666
baseline,Griewank,10,10,1.1102230246251565e-16,4425,7.984823511661015e+17,2,0,5,0.17,0.005,2.4349827766418457
no_local_search,Griewank,10,1,8.841538392867498e-06,2287,11300936.444080535,0,1,5,0.17,0.005,1.5919995307922363
no_local_search,Griewank,10,2,1.9121332078930742e-05,3446,3569439.312274996,0,1,5,0.17,0.005,2.116852283477783
no_local_search,Griewank,10,3,0.0002256022227542509,2556,533593.0853101361,0,2,5,0.17,0.005,2.0640780925750732
no_local_search,Griewank,10,4,1.9397490959915942e-05,2724,5596487.891014058,0,1,5,0.17,0.005,2.3183658123016357
no_local_search,Griewank,10,5,0.00020392033455962633,2352,409467.40276397025,0,2,5,0.17,0.005,1.653733491897583
no_local_search,Griewank,10,6,4.658807546076282e-06,3565,21846182.108326133,0,1,5,0.023799999999999998,0.00931,4.645001649856567
no_local_search,Griewank,10,7,4.101231931841198e-06,3139,25996248.48160868,0,1,5,0.17,0.005,2.168403148651123
no_local_search,Griewank,10,8,5.672757251673488e-05,2303,2271566.354604978,0,2,5,0.17,0.005,1.5008563995361328
no_local_search,Griewank,10,9,0.00010479444634958757,2276,653714.4291348972,0,1,5,0.17,0.005,1.480198621749878
no_local_search,Griewank,10,10,6.344808402114488e-06,4537,13971950.527710188,0,1,5,0.0442,0.00829,4.515975713729858
no_surrogate,Griewank,10,1,0.0,65920,9.991766344569357e+17,2,0,5,0.17,0.005,1.0336370468139648
no_surrogate,Griewank,10,2,1.1102230246251565e-16,67711,6.147632764925261e+17,2,0,5,0.17,0.005,0.9934139251708984
no_surrogate,Griewank,10,3,0.0,65905,1.2037978609226534e+18,2,0,5,0.17,0.005,0.9793202877044678
